uwAmendmentList,uwAmendmentList.AmendmentID,uwAmendmentList.AmendmentNo,uwAmendmentList.AmendmentType,uwAmendmentList.AmendmentKey,uwAmendmentList.BranchID,uwAmendmentList.CoverType,uwAmendmentList.IssueDate
Valency.Models.Console.UnderWriting.uwAmendmentList,93239723-17fd-4daf-a385-6c2627304240,0,REFUND,20/A/01/00029/07/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"21/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,03dbb44f-e568-4e7c-acf9-15714eef971f,0,ADDITION,20/A/01/00033/08/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"10/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,266bd521-dd16-45c7-9dd2-cfbf78fd1dd8,0,ADDITION,20/A/01/00035/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"04/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,15ff7a35-67b9-436d-86f2-959216fa78db,0,REFUND,20/A/01/00038/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"20/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,644fdbaa-45c2-4539-985a-bf72e907288a,0,REFUND,20/A/01/00037/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"20/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,e4605cd4-3d06-46ff-b1c6-6d4c1baf9066,0,REFUND,20/A/01/00036/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"20/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,2c922fec-56ec-4b9d-ad30-c520787a4759,0,REFUND,20/A/01/00039/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"20/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,2b89ae4d-3fb2-4550-a3aa-e64588447989,0,REFUND,20/A/01/00041/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"25/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,754b18d4-fc80-4729-9061-b803e66779d1,0,REFUND,20/A/01/00040/09/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"25/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,fc49d8f3-3c79-401b-bf14-8856f3a8e31c,0,GENERAL,01/A/01/00026/07/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","05/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,d3b5f77d-37bc-4e42-aa8a-f6c98866cb1f,0,ADDITION,03/A/01/00068/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"25/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,21394929-dcdf-4ef4-891d-a7e302c6a074,0,GENERAL,03/A/01/00069/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"31/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,6b2e35be-fdde-4ba0-ab95-97d85ad1a278,0,REFUND,03/A/01/00073/09/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"04/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f8d71914-3390-47d8-97fe-cd8898c4d39e,0,ADDITION,03/A/01/00071/09/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"01/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,85bbc6e1-6397-4310-8140-4176b74009b2,0,GENERAL,03/A/01/00072/09/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"04/09/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,cb216c7c-e5aa-4a4e-bbe4-0c7ec3e2f009,0,GENERAL,03/A/01/00066/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"24/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,dab81bee-8cb7-41f6-9096-bbff586e7797,0,GENERAL,03/A/01/00065/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"23/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,83a6eed2-2588-4397-a7fd-b69c7e9c1778,0,ADDITION,03/A/01/00063/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"21/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f29c79b2-6869-4024-95c8-0bc94901ec77,0,GENERAL,03/A/01/00064/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"21/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,63caa342-6765-462b-bb7a-ed7b5046347b,0,ADDITION,20/A/01/00034/08/23,6624597f-5836-4f92-8c7e-0345c3c515e9,Import,"25/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,acb0b475-ac97-4ded-bb51-09aa4f33f797,0,GENERAL,03/A/01/00067/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Export,"25/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,ec1175a8-bd0c-4d4c-bc67-eb2349a70cd4,0,GENERAL,02/A/01/00042/07/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"26/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,58ed76d3-a8de-48dc-8c49-60d72664086f,0,ADDITION,02/A/01/00043/07/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"27/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,62719974-2ab3-49ae-a565-6d04dbdc8b34,0,GENERAL,02/A/01/00044/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"01/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,269b4d8b-0816-4e75-b9ac-28e94fbf90b2,0,ADDITION,02/A/01/00045/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"04/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,d20a92e7-b0d2-468e-8d49-b145004f483f,0,GENERAL,02/A/01/00046/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"09/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,01983dd7-23e6-4a3d-883c-2ea2dafcd12b,0,GENERAL,02/A/01/00047/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"10/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,430865fd-733b-4c4c-82c4-d8f6ca4930d5,0,GENERAL,02/A/01/00048/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"11/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,7ef9fce7-8438-4ee3-8415-67bc479c2939,0,ADDITION,02/A/01/00049/08/23,01c58bea-0d3c-4c04-8b14-df867e9d4b6a,Import,"17/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,b6c0abc8-454d-4726-9f86-5e9017c4b51c,0,ADDITION,03/A/01/00019/03/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"14/03/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,dd6838a0-dfd4-42cc-9901-609bb976e31a,0,GENERAL,03/A/01/00059/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,"In Land","10/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,e292672a-c8e0-4827-a89b-892c23662ee1,0,GENERAL,03/A/01/00052/07/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"26/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,b67e7413-0661-45b3-bd7c-0a387adaa182,0,GENERAL,03/A/01/00053/07/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"27/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,d8f6a258-9b4c-4c8f-8b20-f4455bcb3d70,0,GENERAL,03/A/01/00054/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"02/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,cbb31903-3a85-43ff-834d-b2ffe5724b3b,0,GENERAL,03/A/01/00055/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"03/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,5e51b554-b8aa-4bf9-8943-dc883dd0bde3,0,GENERAL,03/A/01/00057/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"04/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,0827759b-ad02-454d-ac4f-79a483225a3a,0,GENERAL,03/A/01/00058/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"10/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,81bd4add-73d4-43dc-94c4-03814db02126,0,GENERAL,03/A/01/00061/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"15/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,ac60763a-3af6-4aed-a300-22e8b8fd895c,0,GENERAL,03/A/01/00060/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"15/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,572f29e9-67cb-46a8-9917-2a3df8fa5d68,0,ADDITION,03/A/01/00062/08/23,93434ea8-156e-4ad8-a4b5-3c8b37c13853,Import,"17/08/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,0e2234cd-7d27-47b8-8fda-b7c36eb2225d,0,REVISED,01/A/01/00025/07/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","05/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,94aee933-fbea-47f9-80fb-f830b980e939,0,GENERAL,01/A/01/00027/07/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","18/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,f0cc02c7-093b-4470-bf48-93248435335a,0,GENERAL,01/A/01/00028/07/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","27/07/2023 12:00:00 am"
Valency.Models.Console.UnderWriting.uwAmendmentList,9f178d52-5a33-4dbd-b625-79349188d16d,0,REFUND,01/A/01/00029/08/23,0c1a4a9d-438b-4960-9d8e-711e6020d29f,"Import - Group","07/08/2023 12:00:00 am"
